Trade Date	High	Low	Open	Close	Volume	Prev. Close	Total Turnover	Num. Of Trans.
22/8/2017	3,000	2,970	2,980	3,000	13610	2,960	40570,000	30
23/8/2017	2,980	2,980	2,980	2,980	12160	3,000	36236,000	17
24/8/2017	3,000	2,980	2,980	2,980	8394	2,980	25028,000	13
25/8/2017	3,000	2,970	3,000	2,980	6736	2,980	20082,000	12
28/8/2017	3,020	2,980	2,990	2,980	4410	2,980	13226,000	15
29/8/2017	2,990	2,980	2,980	2,980	7740	2,980	23072,000	14
30/8/2017	3,010	2,980	2,980	2,990	3196	2,980	9547,000	12
31/8/2017	2,990	2,940	2,940	2,990	2561	2,990	7561,000	15
1/9/2017	3,000	2,970	2,980	2,990	6535	2,990	19550,000	22
4/9/2017	2,990	2,890	2,930	2,990	1785	2,990	5234,000	9
5/9/2017	2,980	2,970	2,980	2,970	7570	2,990	22483,000	12
6/9/2017	3,010	2,900	3,010	2,940	3579	2,970	10645,000	14
7/9/2017	2,980	2,940	2,980	2,970	210	2,940	619,000	7
8/9/2017	3,000	2,920	3,000	2,980	460	2,970	1352,000	5
11/9/2017	2,980	2,980	2,980	2,980	200	2,980	596,000	2
12/9/2017	3,030	3,000	3,030	3,010	73350	2,980	220079,000	42
13/9/2017	3,000	2,940	2,980	2,990	6411	3,010	19084,000	20
14/9/2017	2,970	2,930	2,970	2,930	2326	2,990	6853,000	11
15/9/2017	2,980	2,900	2,980	2,940	1850	2,930	5384,000	12
18/9/2017	2,930	2,800	2,880	2,920	9539	2,940	27572,000	28
19/9/2017	2,980	2,900	2,980	2,930	6460	2,920	18890,000	23
20/9/2017	2,940	2,840	2,940	2,930	3070	2,930	8856,000	27
21/9/2017	2,990	2,910	2,990	2,930	9075	2,930	26612,000	36
22/9/2017	2,970	2,940	2,960	2,960	12065	2,930	35537,000	61
25/9/2017	2,990	2,990	2,990	2,990	26	2,960	77,000	2
26/9/2017	2,960	2,910	2,960	2,940	2246	2,990	6586,000	14
27/9/2017	2,960	2,940	2,960	2,960	10355	2,940	30634,000	36
28/9/2017	3,000	2,940	2,980	2,990	16933	2,960	50019,000	37
29/9/2017	2,990	2,990	2,990	2,990	100	2,990	299,000	1
2/10/2017	2,970	2,960	2,970	2,970	1915	2,990	5685,000	4
3/10/2017	2,990	2,970	2,990	2,970	840	2,970	2495,000	6
4/10/2017	2,970	2,930	2,970	2,960	1322	2,970	3909,000	7
5/10/2017	2,990	2,920	2,990	2,920	10005	2,960	29279,000	29
6/10/2017	2,990	2,970	2,970	2,990	645	2,920	1921,000	6
9/10/2017	2,990	2,940	2,990	2,940	3071	2,990	9085,000	15
10/10/2017	2,970	2,920	2,960	2,920	902	2,940	2647,000	7
11/10/2017	2,970	2,920	2,970	2,940	1476	2,920	4331,000	4
12/10/2017	3,000	2,920	2,980	2,970	314	2,940	927,000	6
13/10/2017	2,970	2,940	2,960	2,940	3700	2,970	10969,000	4
16/10/2017	2,990	2,950	2,970	2,980	6975	2,940	20799,000	15
17/10/2017	2,980	2,950	2,970	2,970	9692	2,980	28745,000	24
18/10/2017	2,990	2,970	2,990	2,990	14115	2,970	41952,000	16
19/10/2017	2,980	2,980	2,980	2,980	50	2,990	149,000	1
20/10/2017	2,990	2,950	2,950	2,980	40130	2,980	119549,000	12
23/10/2017	2,960	2,920	2,940	2,930	12401	2,980	36387,000	16
24/10/2017	2,950	2,900	2,950	2,900	1936	2,930	5658,000	15
25/10/2017	2,970	2,900	2,920	2,940	16241	2,900	47765,000	77
26/10/2017	2,980	2,930	2,980	2,980	1910	2,940	5661,000	16
27/10/2017	2,990	2,880	2,980	2,920	297354	2,980	857615,000	103
30/10/2017	2,930	2,820	2,930	2,870	3208	2,920	9173,000	23
31/10/2017	2,880	2,840	2,860	2,880	3527	2,870	10102,000	35
1/11/2017	2,940	2,880	2,880	2,910	5373	2,880	15627,000	17
2/11/2017	2,980	2,930	2,930	2,960	4355	2,910	12859,000	19
3/11/2017	2,980	2,960	2,960	2,980	262575	2,960	777356,000	50
6/11/2017	3,010	2,970	2,980	3,000	19456	2,980	58328,000	79
7/11/2017	3,000	2,940	3,000	2,990	2071	3,000	6156,000	14
8/11/2017	2,960	2,930	2,960	2,930	1991	2,990	5853,000	16
9/11/2017	2,950	2,860	2,920	2,950	1867	2,930	5443,000	17
10/11/2017	2,970	2,960	2,970	2,960	15325	2,950	45365,000	5
13/11/2017	2,950	2,900	2,940	2,930	8360	2,960	24396,000	35
14/11/2017	2,950	2,910	2,930	2,930	1445	2,930	4236,000	11
15/11/2017	2,970	2,900	2,900	2,970	11	2,930	31,000	2
16/11/2017	2,970	2,950	2,950	2,960	2310	2,970	6857,000	6
17/11/2017	2,970	2,970	2,970	2,970	60	2,960	178,000	2
20/11/2017	3,000	2,920	2,980	2,980	3757	2,970	11179,000	24
21/11/2017	2,960	2,920	2,960	2,920	1450	2,980	4270,000	10
22/11/2017	3,000	2,910	2,920	2,980	8030	2,920	23821,000	30
23/11/2017	2,990	2,980	2,980	2,980	1005	2,980	2994,000	2
24/11/2017	3,000	2,980	2,980	2,980	1948	2,980	5820,000	7
27/11/2017	2,990	2,930	2,970	2,990	2542	2,980	7498,000	11
28/11/2017	2,990	2,990	2,990	2,990	30	2,990	89,000	1
29/11/2017	2,990	2,970	2,990	2,970	812	2,990	2423,000	8
30/11/2017	2,980	2,910	2,980	2,910	353	2,970	1041,000	11
